1. Ich habe einen Hund., (I have a dog.),  
2. Sie sieht den Mann., (She sees the man.),  
3. Wir kaufen eine Lampe., (We are buying a lamp.),  
4. Er liest ein Buch., (He is reading a book.),  
5. Hast du die Zeitung?, (Do you have the newspaper?),  
6. Ich trinke einen Kaffee., (I am drinking a coffee.),  
7. Sie sucht ihren Schlüssel., (She is looking for her key.),  
8. Wir besuchen unsere Freunde., (We are visiting our friends.),  
9. Er braucht seinen Computer., (He needs his computer.),  
10. Ich finde den Film interessant., (I find the movie interesting.),  
11. Sie trägt einen Mantel., (She is wearing a coat.),  
12. Ich nehme einen Apfel., (I am taking an apple.),  
13. Kannst du den Tisch decken?, (Can you set the table?),  
14. Wir mögen dieses Restaurant., (We like this restaurant.),  
15. Ich habe einen neuen Job., (I have a new job.).  