1. Ich liebe meine Familie., (I love my family.),  
2. Er besucht seine Großeltern., (He visits his grandparents.),  
5. Ich höre die Musik., (I hear the music.),  
3. Sie kennt den Weg., (She knows the way.),  
4. Wir bestellen eine Pizza., (We are ordering a pizza.),  
6. Kannst du den Stift geben?, (Can you give me the pen?),  
8. Ich sehe einen Vogel., (I see a bird.),  
9. Wir fahren durch den Tunnel., (We are driving through the tunnel.),  
10. Ohne einen Plan ist es schwierig., (Without a plan it's difficult.),  
11. Ich brauche die Rechnung. ,(I need the bill.),  
13. Wir suchen die richtige Adresse., (We are looking for the correct address.), 
 7. Er verliert seinen Pass., (He is losing his passport.),  
14. Er bringt den Kuchen mit., (He is bringing the cake.),  
15. Ich besuche den Park am Wochenende., (I visit the park on the weekend.).  