1. **Das ist ein Hund.**, (That is a dog.),  
2. **Der Mann ist freundlich.**, (The man is friendly.),  
15. **Die Menschen sind glücklich.** ,(The people are happy.).
3. **Die Frau liest ein Buch.**, (The woman is reading a book.),  
4. **Das Kind spielt draußen.**, (The child is playing outside.),  
5. **Ein Apfel ist rot.**, (An apple is red.),  
6. **Der Himmel ist blau.**, (The sky is blue.),  
7. **Die Blumen sind schön.**, (The flowers are beautiful.),  
8. **Ein Auto ist schnell.**,(A car is fast.),  
9. **Das Haus ist groß.**, (The house is big.),  
10. **Der Stuhl ist bequem.**, (The chair is comfortable.),  
11. **Eine Katze schläft auf dem Bett.**, (A cat is sleeping on the bed.),  
12. **Die Stadt ist alt.**, (The city is old.),  
13. **Das Wetter ist sonnig.**, (The weather is sunny.),  
14. **Ein Vogel singt im Baum.**, (A bird is singing in the tree.),  