1. **Hallo!**, – Hello!  
2. **Guten Morgen!**, – Good morning!  
3. **Guten Abend!** ,– Good evening!  
4. **Auf Wiedersehen!** ,– Goodbye!  
5. **Vielen Dank!** ,– Thank you very much!  
6. **Können Sie mir helfen?**, – Can you help me?  
7. **Entschuldigung!** ,– Excuse me/Sorry!  
8. **Ich habe mich verlaufen.**, – I’m lost.  
9. **Die Speisekarte bitte.**, – The menu please.  
10. **Ich hätte gerne...**, – I would like...  
11. **Wo ist die nächste U-Bahn-Station?** ,– Where is the nearest subway station?  
12. **Wie viel kostet das?**, – How much does this cost?  
13. **Ich spreche nur ein bisschen Deutsch.**, – I speak only a little German.  
14. **Können Sie das wiederholen?** ,– Can you repeat that?  
15. **Ich verstehe nicht.** ,– I don’t understand.  