1. **Dov’è il Colosseo?**, – Where is the Colosseum?  
2. **Come si arriva alla Fontana di Trevi?**, – How do I get to the Trevi Fountain?  
3. **Quanto costa il biglietto per gli Uffizi?**, – How much is the ticket for the Uffizi Gallery?  
4. **C’è una guida turistica per il Vaticano?**, – Is there a tour guide for the Vatican?  
5. **Qual è l’orario di apertura del Duomo di Milano?** ,– What are the opening hours of Milan Cathedral?  
6. **Quali sono i luoghi più famosi di Roma?**, – What are the most famous places in Rome?  
7. **Cosa mi consiglia di visitare a Venezia?**, – What do you recommend I visit in Venice?  
8. **Ci sono visite guidate a Pompei?**, – Are there guided tours in Pompeii?  
9. **Voglio visitare la Torre di Pisa.**, – I want to visit the Leaning Tower of Pisa.  
10. **Abbiamo visto il Lago di Como ieri.**, – We saw Lake Como yesterday.  
11. **Questo museo è incredibile!**, – This museum is amazing!  
12. **Ci sono audioguide in italiano/inglese?**, – Are there audio guides in Italian/English?  
13. **Quanto tempo ci vuole per visitare il Colosseo?**, – How long does it take to visit the Colosseum?  
14. **Ci sono sconti per studenti?**, – Are there discounts for students?  
15. **Il panorama dal Vesuvio è spettacolare!**, – The view from Mount Vesuvius is spectacular!  