Dov’è?...,– Where is...?  
Come posso arrivare a  ?,– How can I get to...?  
C’è a... qui vicino?, – Is there a ... nearby?  
Mi può indicare la strada per...?, – Can you show me the way to...?  
Quanto dista .... ?, – How far is...?  
Dov’è la stazione?, Where is the station?  
Dov’è l’ospedale?, – Where is the hospital?  
Dov’è l’ufficio postale?, – Where is the post office?  
Dov’è il centro città?, – Where is the city center?  
Dov’è l’albergo più vicino?, – Where is the nearest hotel?  
Devo andare a destra o a sinistra?, – Should I go right or left?  
È lontano?, – Is it far?  
È qui vicino?, – Is it nearby?  
Quanto ci vuole a piedi?, – How long does it take on foot?  
C’è un autobus per ....  ?, – Is there a bus to...?  
Ciao , Hello / Goodbye (informal)  
Buongiorno, – Good morning / Good day  
Buonasera, – Good evening  
Arrivederci, – Goodbye (formal) 
Per favore, – Please  
Grazie,– Thank you  
Prego, – You’re welcome  
Mi scusi / Scusa, – Excuse me / Sorry (formal/informal)    
Quanto costa?, – How much does it cost?  
Dov'è il bagno?, – Where is the bathroom?  
Parli inglese?, – Do you speak English?  
Può aiutarmi?, – Can you help me?  
Un biglietto per favore., – A ticket please.  
A che ora parte?, – What time does it leave?  
Sto cercando ... , – I’m looking for…  