1. **この映画は面白いです。** , **このえいがはおもしろいです。** , *This movie is interesting.*  
2. **今日の天気は寒いです。** , **きょうのてんきはさむいです。** , *Today's weather is cold.*  
3. **その本は難しいです。**  ,**そのほんはむずかしいです。**  ,*That book is difficult.*  
4. **このケーキは甘いです。** , **このけーきはあまいです。**, *This cake is sweet.*  
5. **日本の夏は暑いです。** , **にほんのなつはあついです。** , *Summer in Japan is hot.*  
6. **この部屋は広いです。** ,**このへやはひろいです。** ,*This room is spacious.*  
7. **彼の話は長いです。**, **かれのはなしはながいです。** , *His story is long.*  
8. **この道は狭いです。**, **このみちはせまいです。** ,*This road is narrow.*  
9. **あの犬は小さいです。** , **あのいぬはちいさいです。**, *That dog is small.*  
10. **私の車は新しいです。** ,**わたしのくるまはあたらしいです。**, *My car is new.*  
11. **この椅子は軽いです。** ,**このいすはかるいです。** ,*This chair is light.*  
12. **山の空気は清々しいです。** ,**やまのくうきはすがすがしいです。** , *The mountain air is refreshing.* 
13. **彼は若いです。**, **かれはわかいです。** ,*He is young.*  ,
14. **このパソコンは高いです。** , **このぱそこんはたかいです。** ,*This computer is expensive.*  
15. **彼女の声は優しいです。** ,**かのじょのこえはやさしいです。**,*Her voice is gentle.*  