1. **学校へ行きます。** , **がっこうへいきます。**  ,*I am going to school.*
2. **駅へ向かいます。**,  **えきへむかいます。** ,*I am heading toward the station.*
3. **お客様へお知らせします。** ,  **おきゃくさまへおしらせします。** ,*A notice to customers.*
4. **日本へ旅行します。** , **にほんへりょこうします。** , *I will travel to Japan.*
5. **田中さんへ手紙を書きました。** , **たなかさんへてがみをかきました。**,   *I wrote a letter to Mr. Tanaka.*
6. **友達へプレゼントを送りました。**  , **ともだちへぷれぜんとをおくりました。**,*I sent a gift to my friend.*
7. **会社へ戻ります。**, **かいしゃへもどります。**,  *I will return to the office.*
8. **空港へタクシーで行きます。**  , **くうこうへたくしーでいきます。** , *I will go to the airport by taxi.*
9. **先生へ感謝の気持ちを伝えます。** , **せんせいへかんしゃのきもちをつたえます。** , *I will express my gratitude to the teacher.*
11. **ホテルへ予約をしました。**, **ほてるへよやくをしました。** ,*I made a reservation at the hotel.*
12. **家族へメールを送りました。**, **かぞくへめーるをおくりました。** , *I sent an email to my family.*
13. **京都へ行く予定です。**  ,**きょうとへいくよていです。** , *I plan to go to Kyoto.*
14. **未来へ進みましょう。** , **みらいへすすみましょう。** , *Let’s move toward the future.*
15. **部長へ報告をしました。**,  **ぶちょうへほうこくをしました。**, *I reported to the department head.*
0. **彼へ電話をかけました。** ,**かれへでんわをかけました。** ,*I called him.*