1. Я пишу **письмо**.  *(Ya pishu **pis'mo**.)* , I am writing a **letter**.  
2. Мы покупаем **цветы**.  *(My pokupayem **tsvety**.)* ,– We are buying **flowers**.  
3. Она готовит **ужин**.  *(Ona gotovit **uzhin**.)* –, She is preparing **dinner**.  
4. Ты видишь **дерево**?  *(Ty vidish' **derevo**?) –, Do you see the **tree**?  
5. Они ищут **новую работу**.  *(Oni ishchut **novuyu rabotu**.)*, – They are looking for a **new job**.  
6. Я нашёл **ключи**.  *(Ya nashol **klyuchi**.)* ,– I found the **keys**.  
7. Мы читаем **газету**.  *(My chitayem **gazetu**.)* –, We are reading the **newspaper**.  
8. Он встретил **друга** вчера.*(On vstretil **druga** vchera.)* , He met a **friend** yesterday.  
9. Она нарисовала **картину***(Ona narisovala **kartinu**.)* –, She painted a **picture**.  
10. Я положил **книгу** на стол.*(Ya polozhil **knigu** na stol.)* –, I put the **book** on the table.  
11. Ты заполнил **анкету**?  *(Ty zapolnil **anketu**?) ,– Did you fill out the **form**?  
12. Он написал **статью** для журнала. *(On napisal **stat'yu** dlya zhurnala.)* , He wrote an **article** for a magazine.  
13. Мы пригласили **гостей** на ужин.*(My priglasili **gostey** na uzhin.)*, – We invited **guests** for dinner.  
14. Она посмотрела **новую картину** в музее. *(Ona posmotrela **novuyu kartinu** v muzeye.)* ,– She looked at a **new painting** in the museum.  
15. Я слушаю **учителя**.*(Ya slushayu **uchitelya**.)* ,– I am listening to the **teacher**.  