1. **Как добраться до центра города?***(Kak dobrat'sya do tsentra goroda?)* – ,How do I get to the city center?  
2. **Где находится ближайшая автобусная остановка?** *(Gde nakhoditsya blizhayshaya avtobusnaya ostanovka?)* – ,Where is the nearest bus stop?  
3. **Скажите пожалуйста где здесь метро?** *(Skazhite pozhaluysta gde zdes' metro?)* – ,Could you please tell me where the subway is?  
4. **Как пройти к парку?** *(Kak proyti k parku?)* – ,How can I get to the park?  
5. **Мне нужно попасть на Красную площадь.** *(Mne nuzhno popast' na Krasnuyu ploshchad'.)* – ,I need to get to Red Square.  
6. **Какой автобус идёт до вокзала?***(Kakoy avtobus idyot do vokzala?)* – ,Which bus goes to the train station?  
7. **Сколько времени займет путь до аэропорта?***(Skol'ko vremeni zaymet put' do aeroporta?)* – ,How long does it take to get to the airport?  
8. **Вы не подскажете где находится ближайший магазин?**,*(Vy ne podskazhite gde nakhoditsya blizhayshiy magazin?)* ,– Can you tell me where the nearest store is?  
9. **Эта дорога ведёт к реке?***(Eta doroga vedyot k reke?)* – ,Does this road lead to the river?  
10. **Есть ли поблизости аптека?***(Yest' li poblizosti apteka?)* – ,Is there a pharmacy nearby?  
11. **Где можно купить билет на поезд?** *(Gde mozhno kupit' bilet na poyezd?)* –, Where can I buy a train ticket?  
12. **Сколько минут пешком до музея?** Skol'ko minut peshkom do muzeya?)* – ,How many minutes on foot to the museum?  
13. **Это далеко отсюда?** *(Eto daleko otsyuda?)* – ,Is it far from here?  
14. **Могу ли я добраться туда на такси?***(Mogu li ya dobrat'sya tuda na taksi?)* –, Can I get there by taxi?  
15. **Какое направление на север?***(Kakoye napravleniye na sever?)* – ,Which direction is north?  