저는 내일 도서관에 갈 것입니다,I will go to the library tomorrow.
우리는 다음 주에 회의할 것입니다,We will have a meeting next week.
그들은 곧 출발할 것입니다,They will depart soon.
저는 한국어를 더 열심히 공부할 것입니다,.I will study Korean harder. 
이 프로젝트는 내일 끝날 것입니다,This project will be finished tomorrow.
저는 보고서를 제출할 것입니다,I will submit the report.
선생님께 질문을 드릴 것입니다,I will ask the teacher a question.
내일 회의 자료를 준비할 것입니다,I will prepare the meeting materials tomorrow.
저는 다음 학기에 새로운 과목을 들을 것입니다,I will take a new course next semester.
저는 내년에 졸업할 것입니다,I will graduate next year.
저는 저녁에 요리할 것입니다, will cook dinner in the evening.
친구와 영화관에 갈 것입니다,I will go to the cinema with my friend.
비가 오면 우산을 가져갈 것입니다,If it rains I will take an umbrella.
저는 주말에 운동할 것입니다,I will exercise on the weekend.
가족과 함께 여행할 것입니다,'I will travel with my family.