저는 학생**입니다**. , *(I am a student.)*  ,**저는**: Topic particle (는).
오늘은 날씨**가** 좋아요. , *(The weather is nice today.)* , - **오늘은**: Topic particle (은). - **날씨가**: Subject particle (가).
친구**에게** 선물을 줬어요. , *(I gave a gift to my friend.)*  ,- **친구에게**: Direction particle (에게).
사과**를** 먹었어요. ,*(I ate an apple.)*  ,- **사과를**: Object particle (를).
한국**에서** 왔어요. , *(I came from Korea.)* , - **한국에서**: Location particle (에서).
책상 위**에** 책이 있어요.  , *(There is a book on the desk.)*  ,- **위에**: Location particle (에).  - **책이**: Subject particle (이).
저는 물**과** 커피를 좋아해요.  ,*(I like water and coffee.)*,- **물과**: Particle for "and" (과).  - **커피를**: Object particle (를).
내일 친구**랑** 영화**를** 볼 거예요.  ,*(I will watch a movie with my friend tomorrow.)*  ,- **친구랑**: Particle for "with" (랑).  - **영화를**: Object particle (를).
이 책**은** 정말 재미있어요.  ,*(This book is really interesting.)*  ,- **책은**: Topic particle (은).
제가 도서관**에** 갔어요.  ,*(I went to the library.)* , - **제가**: Subject particle (가). - **도서관에**: Location particle (에).
우리는 산**으로** 여행을 갔어요.  ,*(We went on a trip to the mountain.)* , - **산으로**: Direction particle (으로).
선생님**께서** 설명을 잘하셨어요. , *(The teacher explained well.)*  ,- **선생님께서**: Honorific subject particle (께서).
이 가방**도** 예뻐요. , *(This bag is pretty too.)* , - **가방도**: Particle for "also" (도).
요즘 날씨**가** 추워졌어요.,  *(The weather has gotten cold these days.)* , - **날씨가**: Subject particle (가).
고양이**가** 방**에서** 자고 있어요., *(The cat is sleeping in the room.)* , - **고양이가**: Subject particle (가). - **방에서**: Location particle (에서).
부모님**께** 편지를 보냈어요.,*(I sent a letter to my parents.)*,  - **부모님께**: Honorific direction particle (께).
점심**으로** 샌드위치**를** 먹었어요., *(For lunch I ate a sandwich.)* , - **점심으로**: Particle for "as/for" (으로). - **샌드위치를**: Object particle (를).
집 앞**에** 공원이 있어요. ,*(There is a park in front of the house.)*  ,- **앞에**: Location particle (에).