어제 친구랑 영화관에 갔어요,*Yesterday I went to the movie theater with a friend.*  
아침에 맛있는 김밥을 먹었어요, *In the morning I ate delicious kimbap.*  
어제 집에서 열심히 공부했어요, *Yesterday I studied hard at home.*  
시장에서 새 가방을 샀어요, *I bought a new bag at the market.*  
주말에 가족과 재미있는 드라마를 봤어요,*On the weekend I watched an interesting drama with my family.*  
어젯밤에 친구에게 전화했어요, *Last night I called my friend.*  
회의 시간에 중요한 내용을 썼어요, *During the meeting I wrote down important points.*  
지난주에 오랜만에 친구를 만났어요, *Last week I met a friend after a long time.*   
아침에 공원에서 운동했어요, *In the morning I exercised at the park.*  
버스에서 음악을 들었어요, *I listened to music on the bus.*  
어제 회사에서 늦게까지 일했어요, *Yesterday I worked late at the office.*  
친구가 우리 집에 왔어요, *My friend came to my house.*  
주말에 아이들과 놀았어요, *On the weekend I played with the kids.*  
어젯밤에 가족들과 오래 이야기했어요, *Last night I talked with my family for a long time.*  